Couplage,<Magnetisation>,<Energie>,Var(Energie)
0.431,-0.10481736607142857,-1.1337116357142858,0.0011678341419725236
0.428,-0.05775218750000001,-1.0954642421428573,0.0009766502606003424
0.433,0.43346683035714284,-1.1680745632142857,0.0012082756307219
0.44,0.6117946875,-1.2457134642857146,0.0013466117704978853
0.42,0.10383736607142857,-1.028525325,0.0007141340067693402
0.418,-0.02141120535714286,-1.0136382810714286,0.0007715887298422874
0.438,0.5948207589285714,-1.228899885,0.001221442121620786
0.441,0.5525875446428572,-1.2476623949999999,0.0013075076189985602
0.443,0.6908008035714286,-1.2941456301785716,0.0009983582544266234
0.439,0.5678389732142858,-1.2355686357142859,0.0012549944962141346
0.424,-0.03160303571428572,-1.0653953999999999,0.0009343753747259598
0.434,0.43489308035714286,-1.1749219325,0.0014720316481717788
0.447,0.71109375,-1.3257683951785715,0.0009754870407792104
0.46,0.8159060714285714,-1.4545257500000002,0.0008341165869372169
0.416,0.03885022321428571,-1.0012347428571429,0.0006758302461908894
0.445,0.7102720982142857,-1.311490491071429,0.0008933954927157206
0.41,0.026366562500000003,-0.9558084,0.000634232653055844
0.455,0.7880337946428572,-1.40867228125,0.000854847893897448
0.435,0.5617392857142858,-1.199624667857143,0.0010220709658157467
0.453,0.7853347767857144,-1.3969475673214284,0.0008896795566699645
0.445,0.6704472767857143,-1.3066497651785713,0.00137026418827646
0.414,0.05796209821428572,-0.9895512278571428,0.0006570150591085344
0.442,0.6720448660714287,-1.2799850375,0.001102993503099503
0.457,0.7994098660714286,-1.4273080308928574,0.0007538939755904472
0.427,0.2459442410714286,-1.0959240175,0.00104898295250333
0.426,0.004517544642857137,-1.083853695,0.0010830316796042183
0.451,0.7452599107142858,-1.366531932857143,0.0011662724545860037
0.449,0.7551707589285714,-1.35720633125,0.0008974284456331194
0.437,0.3973360714285714,-1.1891530067857143,0.0010114970653432032
0.43,0.2602021428571428,-1.1267765303571429,0.0014135831148678335
0.422,0.026999017857142846,-1.0442038082142857,0.0007905687879268264
0.465,0.8309502678571428,-1.4951441437500002,0.0006640846140690826
0.459,0.8095647321428572,-1.4442851378571429,0.0008766152335693
0.4,-0.007409107142857141,-0.8833264285714287,0.0005353678015302954
0.429,0.07362334821428572,-1.1099107151785714,0.0009566338500368587
0.444,0.6936591517857142,-1.3000532485714287,0.0012248693920824394
0.412,0.023546741071428567,-0.9688666307142856,0.0006621311882801795
0.436,-0.16872343750000002,-1.1924702771428572,0.0014665705912728644
0.405,-0.005701160714285714,-0.9178428937500002,0.0005388687438704354
0.432,-0.027783883928571427,-1.1350243028571427,0.0012313556300569406
0.425,0.0019468303571428599,-1.0702217187499998,0.0008247375167169668
