Couplage,<Magnetisation>,<Energie>,Var(Energie)
0.447,0.3998364285714286,-1.333076605714286,0.014929745417278095
0.435,0.07635214285714283,-1.2162003428571426,0.016973660597025875
0.43670000000000087,0.1581264285714286,-1.2436467371428594,0.016013205149853604
0.5150000000000001,0.926817857142857,-1.8362354428571432,0.0064532807795183444
0.448,-0.7185650000000001,-1.3367987200000002,0.015238024599961042
0.4304000000000004,0.3761542857142857,-1.1603596297142869,0.018443537339693394
0.9800000000000004,0.9991278571428571,-3.9133136000000013,0.0002663518950392074
0.02,0.0005614285714285714,-0.0016313714285714287,8.170192976326531e-06
0.44330000000000136,-0.4504321428571429,-1.2914139605714325,0.01611782242256421
0.6400000000000001,0.9826371428571428,-2.4807241142857146,0.0024175317042152145
0.43910000000000105,0.3139014285714286,-1.2568196205714313,0.016615518352179004
0.36000000000000004,0.011509285714285713,-0.6626849142857144,0.005349458755278258
0.4050000000000001,-0.07445285714285715,-0.922903585714286,0.010828655954285393
0.35500000000000004,0.01113642857142857,-0.6368963714285715,0.004987129738262097
0.7800000000000002,0.995217857142857,-3.0918018857142866,0.000957023585016259
0.5800000000000001,0.967495,-2.1939063428571433,0.0036767743369106043
0.42830000000000024,-0.05607928571428572,-1.143464326571429,0.01650631640654554
0.38500000000000006,-0.03627071428571429,-0.8001158000000002,0.008013659530359929
0.4316000000000005,-0.0603057142857143,-1.1996198685714299,0.016241107244928887
0.39000000000000007,0.05409214285714287,-0.8294575714285716,0.008294459708387936
0.5,0.9091657142857142,-1.7440700000000002,0.007706335099999073
0.4280000000000002,-0.27062857142857144,-1.1287998628571434,0.014386812194724152
0.36500000000000005,-0.012670000000000002,-0.6908448857142858,0.005618029608129793
0.4427000000000013,-0.1539957142857143,-1.2891474594285752,0.016345848528596996
0.9000000000000004,0.9982800000000001,-3.5880222857142865,0.0004491766462049185
0.4412000000000012,-0.5191071428571429,-1.2533155794285749,0.01804627408210857
0.421,-0.2112057142857143,-1.0729497742857144,0.014721135396291718
0.42560000000000003,-0.32947428571428566,-1.1353633920000001,0.015995510670094415
0.455,-0.3163178571428572,-1.4153970999999999,0.012998754501590604
0.7600000000000002,0.9942571428571427,-3.0072027428571433,0.001080603238191813
0.06,0.0012492857142857145,-0.014616514285714284,7.285435584979591e-05
0.43520000000000075,-0.10037428571428574,-1.2160258925714307,0.017014209833401184
0.42590000000000006,0.04330000000000001,-1.1024153791428573,0.015328241295058609
0.4415000000000012,-0.3499764285714286,-1.283653681428575,0.016377602686718618
0.44030000000000113,0.7376042857142856,-1.2957714500000033,0.014907072970941737
0.43220000000000053,0.022111428571428553,-1.2029657222857157,0.015756997700736575
0.438800000000001,0.1813114285714285,-1.2667717200000028,0.015978122851926457
0.6800000000000002,0.9881378571428572,-2.660869142857144,0.0018735382592645067
0.4343000000000007,0.28947357142857144,-1.2066256168571448,0.01566917776485499
0.4346000000000007,0.5872264285714286,-1.214197897142859,0.015720942019861628
0.4277000000000002,0.29571071428571427,-1.1424954580000004,0.01504348529460664
0.47500000000000003,0.8680742857142858,-1.5759346428571428,0.00945140504987263
0.437,0.19907214285714286,-1.2127711400000003,0.018317497161785656
0.14,-0.002427857142857143,-0.08088240000000001,0.0004391384902400009
0.9200000000000004,0.9986057142857142,-3.670035085714286,0.00037473284900535475
0.4307000000000004,0.44712142857142856,-1.1622082634285726,0.017080731716154318
0.1,0.0002657142857142856,-0.040860571428571434,0.00020698627395918383
0.5250000000000001,0.9386764285714286,-1.8991530000000005,0.005518214090999507
0.42,0.09601071428571428,-1.0671036,0.01545683182703983
0.42740000000000017,0.23569785714285715,-1.135195159428572,0.01714211387299569
0.4000000000000001,0.024759285714285716,-0.8887257142857145,0.009116666481632674
0.4331000000000006,-0.20078857142857143,-1.1843020505714303,0.017184425624951816
0.34500000000000003,-0.002736428571428572,-0.5926380428571428,0.004342369614169728
0.26,0.004685714285714286,-0.302458,0.0018725602702857058
0.56,0.959485,-2.0917408,0.004142663055359819
0.43940000000000107,0.10214285714285717,-1.26748194114286,0.01675149666331155
0.5550000000000002,0.9574214285714286,-2.064587314285715,0.004411938721928799
0.438,0.7192014285714285,-1.2707769085714287,0.013319812672042852
0.4328000000000006,0.11999142857142853,-1.1830328320000016,0.016719907270329237
0.4409000000000012,-0.5984764285714286,-1.2766524040000036,0.015962948957987333
0.43250000000000055,0.32814142857142853,-1.2024525642857158,0.014803140103781809
0.44180000000000125,0.003693571428571431,-1.2825933668571465,0.01514285911842439
0.4442000000000014,0.4853242857142857,-1.297222642857147,0.016204374430041746
0.8600000000000003,0.99759,-3.4240482285714293,0.0005732167825822643
0.415,-0.03900571428571426,-1.0109708285714285,0.013539545171884937
0.8200000000000003,0.9966385714285714,-3.2589025714285724,0.0007304458219579146
0.51,0.9218321428571429,-1.8063966857142857,0.006838180057587184
0.4289000000000003,0.05709571428571431,-1.140139968285715,0.017572176822428176
0.54,0.9478164285714286,-1.9802124,0.004900125331955163
0.5050000000000001,0.9208149999999999,-1.782117585714286,0.006561670086457472
0.12,0.0007128571428571428,-0.05921554285714286,0.00031745840984816285
0.42860000000000026,-0.05388285714285714,-1.1411328051428578,0.01616960464116457
0.418,-0.17597785714285716,-1.04024316,0.014575303083271374
0.4334000000000006,0.3538292857142857,-1.1991174988571445,0.016264984497129875
0.5350000000000001,0.9444121428571429,-1.9555060142857152,0.005196825382398185
0.4400000000000011,0.13300928571428572,-1.2743204571428604,0.016841330541505384
0.423,0.03440857142857145,-1.11174552,0.015467315900272505
0.4253,-0.18890214285714285,-1.0992449617142859,0.01513724655565074
0.8400000000000003,0.9971257142857142,-3.3414911999999997,0.0006627632025715258
0.6200000000000001,0.9782635714285713,-2.386151485714286,0.002726455246365056
0.4436000000000014,-0.723482857142857,-1.304337358857147,0.01484507588032935
0.7000000000000002,0.9898557142857143,-2.7479420000000006,0.0016700886359997114
0.411,0.05651642857142857,-0.9794858057142856,0.013779584345951057
0.49000000000000005,0.9002807142857143,-1.6836358,0.00755565611836051
0.413,-0.3131714285714286,-1.00250322,0.013801535299631684
0.4358000000000008,-0.5436335714285714,-1.2390690502857165,0.014719753632776333
0.4265000000000001,0.04511071428571425,-1.1263804071428576,0.017275287828619534
0.5450000000000002,0.9517014285714286,-2.011663514285715,0.0047846114859346756
0.48000000000000004,0.8644485714285715,-1.6005065142857144,0.01067814417470725
0.4439000000000014,-0.6966885714285714,-1.2931365045714327,0.016826762312947663
0.438200000000001,-0.4055092857142858,-1.2457362440000028,0.016220501595316295
0.442,-0.48378,-1.2892053942857145,0.01480831929158688
0.22,-0.002431428571428572,-0.21055319999999997,0.00120716718118858
0.424,-0.3158128571428572,-1.1103251657142856,0.015806543187029787
